,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600519.SH,20211231,2070.0,2072.98,2028.0,2050.0,2075.0,-25.0,-1.2048,29664.91,6061415.344
1,600519.SH,20211230,2041.0,2088.98,2028.0,2075.0,2041.0,34.0,1.6659,35261.36,7272866.657
2,600519.SH,20211229,2150.0,2154.25,2041.0,2041.0,2138.18,-97.17999999999984,-4.545,54049.02,11195625.154
3,600519.SH,20211228,2133.0,2155.5,2116.6,2138.18,2131.82,6.359999999999673,0.2983,27650.7,5901940.633
4,600519.SH,20211227,2168.0,2168.0,2112.0,2131.82,2194.09,-62.26999999999998,-2.8381,37555.9,8020677.686
5,600519.SH,20211224,2148.88,2216.96,2148.88,2194.09,2120.0,74.09000000000015,3.4948,56129.59,12295953.4
6,600519.SH,20211223,2053.0,2120.0,2025.0,2120.0,2048.0,72.0,3.5156,39098.54,8126298.013
7,600519.SH,20211222,2040.0,2063.0,2040.0,2048.0,2038.2,9.799999999999955,0.4808,17430.79,3570928.372
8,600519.SH,20211221,2045.0,2069.13,2012.83,2038.2,2058.96,-20.75999999999999,-1.0083,26285.89,5354186.59
9,600519.SH,20211220,2050.7,2085.66,2041.0,2058.96,2050.7,8.260000000000218,0.4028,32257.69,6654596.508
10,600519.SH,20211217,2100.5,2108.0,2036.0,2050.7,2118.99,-68.28999999999996,-3.2228,48403.18,9988869.785
11,600519.SH,20211216,2115.0,2144.05,2086.23,2118.99,2135.0,-16.01000000000022,-0.7499,37211.36,7865499.278
12,600519.SH,20211215,2142.15,2164.95,2125.02,2135.0,2150.0,-15.0,-0.6977,30078.27,6444715.086
13,600519.SH,20211214,2118.2,2167.9,2100.0,2150.0,2118.2,31.800000000000182,1.5013,40449.41,8673733.691
14,600519.SH,20211213,2154.0,2180.0,2118.0,2118.2,2090.0,28.199999999999818,1.3493,65806.56,14139012.29
15,600519.SH,20211210,2060.0,2095.78,2056.0,2090.0,2086.55,3.449999999999818,0.1653,43148.22,8944582.265
16,600519.SH,20211209,2054.94,2116.92,2045.0,2086.55,2043.0,43.55000000000018,2.1317,64239.18,13404724.467
17,600519.SH,20211208,1964.88,2045.0,1950.0,2043.0,1955.87,87.13000000000011,4.4548,61048.07,12285101.988
18,600519.SH,20211207,1980.74,1987.87,1946.73,1955.87,1967.3,-11.430000000000064,-0.581,36979.89,7286659.622
19,600519.SH,20211206,1983.0,1990.0,1950.0,1967.3,1971.88,-4.580000000000155,-0.2323,31063.88,6122543.819
20,600519.SH,20211203,1932.0,1988.62,1931.05,1971.88,1934.0,37.88000000000011,1.9586,35818.39,7045848.18
21,600519.SH,20211202,1940.0,1942.15,1919.6,1934.0,1932.99,1.009999999999991,0.0523,20421.82,3939731.543
22,600519.SH,20211201,1950.0,1959.95,1919.02,1932.99,1930.77,2.2200000000000273,0.115,26254.4,5071457.098
23,600519.SH,20211130,1985.4,1989.9,1927.5,1930.77,1985.0,-54.23000000000002,-2.732,36924.87,7192172.533
24,600519.SH,20211129,1960.0,1990.0,1951.08,1985.0,1941.01,43.99000000000001,2.2663,42399.34,8372476.083
25,600519.SH,20211126,1964.83,1967.0,1925.0,1941.01,1956.03,-15.019999999999982,-0.7679,32655.57,6337346.211
26,600519.SH,20211125,1953.0,1986.2,1946.25,1956.03,1941.0,15.029999999999973,0.7743,39752.88,7803035.266
27,600519.SH,20211124,1900.0,1966.0,1897.0,1941.0,1896.43,44.569999999999936,2.3502,54512.35,10555736.753
28,600519.SH,20211123,1852.0,1917.0,1852.0,1896.43,1854.27,42.16000000000008,2.2737,45782.2,8676297.616
29,600519.SH,20211122,1849.0,1909.0,1848.0,1854.27,1828.41,25.8599999999999,1.4143,42572.68,7994018.41
30,600519.SH,20211119,1794.19,1849.0,1788.2,1828.41,1792.0,36.41000000000008,2.0318,31155.59,5699883.8
31,600519.SH,20211118,1781.22,1807.0,1770.0,1792.0,1795.0,-3.0,-0.1671,19520.89,3485674.964
32,600519.SH,20211117,1805.0,1820.5,1790.01,1795.0,1808.0,-13.0,-0.719,24505.46,4411450.908
33,600519.SH,20211116,1768.0,1818.0,1765.0,1808.0,1761.14,46.8599999999999,2.6608,33526.24,6033536.262
34,600519.SH,20211115,1773.68,1784.0,1750.0,1761.14,1773.78,-12.639999999999873,-0.7126,24947.35,4410975.373
35,600519.SH,20211112,1778.0,1785.05,1766.66,1773.78,1769.6,4.180000000000064,0.2362,17606.63,3124400.972
36,600519.SH,20211111,1752.93,1769.6,1741.5,1769.6,1753.99,15.6099999999999,0.89,22651.87,3987243.285
37,600519.SH,20211110,1790.01,1795.0,1735.0,1753.99,1790.01,-36.01999999999998,-2.0123,35348.77,6204803.25
38,600519.SH,20211109,1819.98,1827.87,1782.0,1790.01,1820.1,-30.089999999999918,-1.6532,27351.92,4915170.028
39,600519.SH,20211108,1820.0,1830.8,1802.05,1820.1,1819.94,0.15999999999985448,0.0088,17705.72,3220439.334
40,600519.SH,20211105,1804.21,1844.99,1804.21,1819.94,1804.2,15.740000000000009,0.8724,27077.23,4956331.383
41,600519.SH,20211104,1777.94,1816.0,1769.42,1804.2,1765.0,39.200000000000045,2.221,31130.43,5592211.731
42,600519.SH,20211103,1800.0,1809.98,1761.19,1765.0,1804.64,-39.6400000000001,-2.1966,27829.31,4958314.535
43,600519.SH,20211102,1796.7,1844.22,1788.0,1804.64,1803.0,1.6400000000001,0.091,32500.24,5875341.369
44,600519.SH,20211101,1780.0,1826.3,1760.0,1803.0,1826.08,-23.079999999999927,-1.2639,41689.98,7486936.394
45,600519.SH,20211029,1825.0,1848.0,1813.0,1826.08,1825.49,0.5899999999999181,0.0323,28775.86,5266898.95
46,600519.SH,20211028,1825.2,1843.78,1802.0,1825.49,1819.0,6.490000000000009,0.3568,29490.93,5383196.101
47,600519.SH,20211027,1852.3,1858.3,1800.1,1819.0,1861.05,-42.049999999999955,-2.2595,34647.29,6302270.905
48,600519.SH,20211026,1864.03,1878.99,1844.0,1861.05,1873.03,-11.980000000000018,-0.6396,21130.26,3934223.714
49,600519.SH,20211025,1880.0,1885.01,1858.0,1873.03,1901.0,-27.970000000000027,-1.4713,32461.33,6076219.948
50,600519.SH,20211022,1855.0,1921.01,1854.0,1901.0,1844.0,57.0,3.0911,35962.6,6794850.056
51,600519.SH,20211021,1841.1,1860.0,1829.0,1844.0,1841.0,3.0,0.163,23018.7,4238584.294
52,600519.SH,20211020,1833.0,1849.8,1806.01,1841.0,1812.18,28.819999999999936,1.5903,28663.39,5246404.615
53,600519.SH,20211019,1800.0,1838.8,1799.88,1812.18,1800.0,12.180000000000064,0.6767,40314.56,7330114.082
54,600519.SH,20211018,1888.0,1888.0,1787.0,1800.0,1916.97,-116.97000000000003,-6.1018,69652.02,12651498.607
55,600519.SH,20211015,1890.1,1929.99,1890.1,1916.97,1911.0,5.970000000000027,0.3124,28560.78,5452953.879
56,600519.SH,20211014,1928.93,1941.8,1896.0,1911.0,1929.9,-18.90000000000009,-0.9793,26622.55,5097602.232
57,600519.SH,20211013,1870.0,1949.95,1862.0,1929.9,1870.99,58.91000000000008,3.1486,50142.61,9625769.127
58,600519.SH,20211012,1866.0,1877.0,1842.42,1870.99,1867.12,3.8700000000001182,0.2073,30606.42,5688160.837
59,600519.SH,20211011,1839.51,1889.9,1831.01,1867.12,1839.6,27.519999999999982,1.496,37675.57,7040475.327
60,600519.SH,20211008,1822.42,1878.0,1807.23,1839.6,1830.0,9.599999999999909,0.5246,47451.96,8780381.118
61,600519.SH,20210930,1818.18,1850.22,1803.4,1830.0,1820.0,10.0,0.5495,40539.29,7411735.79
62,600519.SH,20210929,1809.0,1845.01,1785.9,1820.0,1822.06,-2.0599999999999454,-0.1131,43290.65,7870151.768
63,600519.SH,20210928,1848.0,1860.0,1795.0,1822.06,1855.0,-32.940000000000055,-1.7757,49221.05,8973408.813
64,600519.SH,20210927,1750.0,1863.4,1750.0,1855.0,1694.0,161.0,9.5041,126868.92,23270689.695
